Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
"Ekstrand, A., Webley, P., Garay, M., Dehn, J., Prakash, A., Nelson, D., Dean, K., Steensen, T., 2013. A multi-sensor plume height analysis of the 2009 Redoubt eruption. J. Volcanol. Geotherm. Res. 259, 170–184. http://dx.doi.org/10.1016/j.jvolgeores.2012.09.008.",,,,,,,,,,,,,,,,,,,,,,,
"Elissondo, M., Baumann, V., Bonadonna, C., Pistolesi, M., Cioni, R., Bertagnini, A., Biasse, S., Herrero, J.-C., Gonzalez, R., 2016. Chronology and impact of the 2011 Cordón Caulle eruption, Chile. Nat. Hazards Earth Syst. Sci. 16 (3), 675–704. http://dx.doi.org/10.5194/nhess-16-675-2016.",,,,,,,,,,,,,,,,,,,,,,,
"Eychenne, J., Le Pennec, J.-L., Ramón, P., Yepes, H., 2013. Dynamics of explosive paroxysms at open-vent andesitic systems: high-resolution mass distribution analyses of the 2006 Tungurahua fall deposit (Ecuador). Earth Planet. Sci. Lett. 361, 343–355. http://dx.doi.org/10.1016/j.epsl.2012.11.002.",,,,,,,,,,,,,,,,,,,,,,,
"Flentje, H., Claude, H., Elste, T., Gilge, S., Köhler, U., Plass-Dülmer, C., Steinbrecht, W., Thomas, W., Werner, A., Fricke, W., 2010. The Eyjafjallajökull eruption in April 2010-detection of volcanic plume using in-situ measurements, ozone sondes and lidar-ceilometer profiles. Atmos. Chem. Phys. 10 (20), 10085–10092. http://dx.doi.org/10.5194/acp-10-10085-2010.",,,,,,,,,,,,,,,,,,,,,,,
"Folch, A., Jorba, O., Viramonte, J., 2008. Volcanic ash forecast-application to the May 2008 Chaitén eruption. Nat. Hazards Earth Syst. Sci 8 (4), 927–940. http://dx.doi.org/10.5194/nhess-8-927-2008.",,,,,,,,,,,,,,,,,,,,,,,
"Gaunt, H., Bernard, B., Hidalgo, S., Proano, A., Wright, H., Mothes, P., Criollo, E., Kueppers, U., 2016. Eruptive dynamics inferred from textural analysis of ash time series: the 2015 reawakening of Cotopaxi volcano. J. Volcanol. Geotherm. Res. http://dx.doi.org/10.1016/j.jvolgeores.2016.10.013.",,,,,,,,,,,,,,,,,,,,,,,
"Geshi, N., Oikawa, T., 2008. Phreatomagmatic eruptions associated with the caldera collapse during the Miyakejima 2000 eruption, Japan. J. Volcanol. Geotherm. Res. 176 (4), 457–468. http://dx.doi.org/10.1016/j.jvolgeores.2008.04.013.",,,,,,,,,,,,,,,,,,,,,,,
"Gilbert, D.J., 2012. Pre-Eruptive Conditions at Lonquimay and Puyehue-Cordon Caulle Volcanoes, Chile: Framework for Tectonic Influences. Ph.D. thesis. Christian-Albrechts Universität Kiel. Program, Global Volcanism, 1971. Report on Cerro Negro (Nicaragua). Center for Short- Lived Phenomena, Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1974. Report on Fuego (Guatemala). Center for Short-Lived Phenomena, Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1980. Report on St. Helens (United States). In: Squires, D. (Ed.), Scientific Event Alert Network Bulletin. 5:5. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1982a. Report on el Chichon (Mexico). In: McClelland, L. (Ed.), Scientific Event Alert Network Bulletin. 7:3. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1982b. Report on El Chichon (Mexico). In: McClelland, L. (Ed.), Scientific Event Alert Network Bulletin. 7:4. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1985a. Report on Nevado del Ruiz (Columbia). In: McClelland, L. (Ed.), Scientific Event Alert Network Bulletin. 10:11. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.SEAN198511-351020.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1985b. Report on Ruapehu (New Zealand). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 20:10. Smithsonian",,,,,,,,,,,,,,,,,,,,,,,
"Institution., http://dx.doi.org/10.5479/si.GVP.BGVN199510-241100.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1986a. Report on Cerro Negro (Nicaragua). Center for Short-Lived Phenomena. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1986b. Report on Cerro Negro (Nicaragua). Center for Short-Lived Phenomena, Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1986c. Report on Cerro Negro (Nicaragua). Center for Short-Lived Phenomena, Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1986d. Report on Chikurachki (Russia). In: McClelland, L. (Ed.), Scientific Event Alert Network Bulletin. 11:11. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1990. Report on Kelut (Indonesia). In: McClelland, L. (Ed.), Bulletin of the Global Volcanism Network. 15:1. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1992. Report on Cerro Negro (Nicaragua). In: McClelland, L. (Ed.), Bulletin of the Global Volcanism Network. 17:4. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1995. Report on Cerro Negro (Nicaragua). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 20:11. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1996a. Report on Popocatepetl (Mexico). In:Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 21:4. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.BGVN199604-341090.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1996b. Report on Popocatepetl (Mexico). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 21:10. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.BGVN199610-341090.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 1997. Report on Popocatepetl (Mexico). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 22:7. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.BGVN199610-341090.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2002. Report on Reventador (Ecuador). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 27:11. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.BGVN200211-352010.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2003a. Report on Anatahan (United States). In: Venzke, E. (Ed.), Bulletin of the Global Volcanism Network. 28:5. Smithsonian Institution.,",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2003b. Report on Anatahan (United States). In: Venzke, E. (Ed.), Bulletin of the Global Volcanism Network. 28:5. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2009. Report on Bezymianny (Russia). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network, 34:11. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2011. Report on Merapi (Indonesia). In: Wunderman, R. (Ed.), Bulletin of the Global Volcanism Network. 36:1. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Program, Global Volcanism, 2016. Report on Cotopaxi (Ecuador). In: Venzke, E. (Ed.), Bulletin of the Global Volcanism Network. 41:4. Smithsonian Institution.",,,,,,,,,,,,,,,,,,,,,,,
"Report, Global Volcanism, 1999. Report on Shishaldin (United States). In: Wunderman,",,,,,,,,,,,,,,,,,,,,,,,
"R. (Ed.), Bulletin of the Global Volcanism Network. 24:4. Smithsonian Institution., http://dx.doi.org/10.5479/si.GVP.BGVN199904-311360.",,,,,,,,,,,,,,,,,,,,,,,
"Gronvold, K., Larsen, G., Einarsson, P., Thorarinsson, S., Saemundsson, K., 1983. The Hekla eruption 1980–1981. Bull. Volcanol. 46 (4), 349–363. http://dx.doi.org/10.1007/BF02597770.",,,,,,,,,,,,,,,,,,,,,,,
"Gudmundsson, A., Oskarsson, N., Gronvold, K., Saemundsson, K., Sigurdsson, O., Stefansson, R., Gislason, S.R., Einarsson, P., Brandsdottir, B., Larsen, G., et al. 1992. The 1991 eruption of Hekla, Iceland. Bull. Volcanol. 54 (3), 238–246. http://dx.doi.org/10.1007/BF00278391.",,,,,,,,,,,,,,,,,,,,,,,
"Gudmundsson, M.T., Thordarson, T., Höskuldsson, Á., Larsen, G., Björnsson, H., Prata, F.J., Oddsson, B., Magnússon, E., Högnadóttir, T., Petersen, G.N., et al. 2012. Ash generation and distribution from the April–May 2010 eruption of Eyjafjallajökull, Iceland. Sci. Rep. 2, http://dx.doi.org/10.1038/srep00572.",,,,,,,,,,,,,,,,,,,,,,,
"Gurenko, A., Belousov, A., Trumbull, R., Sobolev, A., 2005. Explosive basaltic volcanism of the Chikurachki volcano (Kurile arc, Russia): insights on pre-eruptive magmatic conditions and volatile budget revealed from phenocryst-hosted melt inclusions and groundmass glasses. J. Volcanol. Geotherm. Res. 147 (3), 203–232. http://dx.doi.org/10.1016/j.jvolgeores.2005.04.002.",,,,,,,,,,,,,,,,,,,,,,,
"Hall, M., Steele, A., Mothes, P., Ruiz, M., 2013. Pyroclastic density currents (PDC) of the 16–17 August 2006 eruptions of Tungurahua volcano, Ecuador: geophysical registry and characteristics. J. Volcanol. Geotherm. Res. 265, 78–93.",,,,,,,,,,,,,,,,,,,,,,,
"Hall, M., Ramón, P., Mothes, P., LePennec, J., García, A., Samaniego, P., Yepes, H., 2004. Volcanic eruptions with little warning: the case of Volcán Reventador’s Surprise November 3, 2002 Eruption, Ecuador. Rev. Geol. Chile 31 (2), 349–358. http://dx. doi.org/10.4067/S0716-02082004000200010.",,,,,,,,,,,,,,,,,,,,,,,
"Harris, D.M., Rose, W., Roe, R., Thompson, M., Lipman, P., Mullineaux, D., 1981. Radar observations of ash eruptions. US Geol. Surv. Prof. Pap. 1250, 323–333.",,,,,,,,,,,,,,,,,,,,,,,
"Hashimoto, A., Shimbori, T., Fukui, K., 2012. Tephra fall simulation for the eruptions at Mt. Shinmoe-dake during 26–27 January 2011 with JMANHM. Sola 8, 37–40. http://dx.doi.org/10.2151/sola.2012-010.",,,,,,,,,,,,,,,,,,,,,,,
"Hayer, C., Carboni, E., Ventress, L., Povey, A., Grainger, R., 2016. Satellite observations of the volcanic plume from the 23rd April 2015 eruption of Calbuco volcano. EGU General Assembly Conference Abstracts. vol. 18. pp. 17035.. http://adsabs.harvard.edu/abs/2016EGUGA.1817035H.",,,,,,,,,,,,,,,,,,,,,,,
"Hildreth, W., Drake, R., 1992. Volcán Quizapu, Chilean Andes. Bull. Volcanol. 54 (2),",,,,,,,,,,,,,,,,,,,,,,,
93–125. http://dx.doi.org/10.1007/BF00278002.,,,,,,,,,,,,,,,,,,,,,,,
"Hill, B.E., Connor, C.B., Jarzemba, M.S., La Femina, P.C., Navarro, M., Strauch, W., 1998. 1995 eruptions of Cerro Negro volcano, Nicaragua, and risk assessment for future eruptions. Geol. Soc. Am. Bull. 110 (10), 1231–1241. http://dx.doi.org/10.1130/0016-7606(1998)110<1231:EOCNVN>2.3.CO;2.",,,,,,,,,,,,,,,,,,,,,,,
"Hoblitt, R., Wolfe, E., Scott, W., Couchman, M., Pallister, J., Javier, D., 1996. The preclimactic eruptions of Mount Pinatubo, June 1991. Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines: Philippine Institute of Volcanology and Seismology and University of Washington, , pp. 457–511.",,,,,,,,,,,,,,,,,,,,,,,
"Holasek, R., Self, S., Woods, A., 1996. Satellite observations and interpretation of the 1991 Mount Pinatubo eruption plumes. J. Geophys. Res. Solid Earth 101 (B12), 27635–27655. http://dx.doi.org/10.1029/96JB01179.",,,,,,,,,,,,,,,,,,,,,,,
"Hreinsdóttir, S., Sigmundsson, F., Roberts,M.J., Björnsson, H., Grapenthin, R., Arason, P., Árnadóttir, T., Hólmjárn, J., Geirsson, H., Bennett, R.A., et al. 2014. Volcanic plume height correlated with magma-pressure change at Grimsvotn volcano, Iceland. Nat. Geosci. 7 (3), 214–218. http://dx.doi.org/10.1038/ngeo2044.",,,,,,,,,,,,,,,,,,,,,,,
"Hurst, A., Turner, R., 1999. Performance of the program ASHFALL for forecasting ashfall during the 1995 and 1996 eruptions of Ruapehu volcano. N. Z. J. Geol. Geophys. 42 (4), 615–622. http://dx.doi.org/10.1080/00288306.1999.9514865.",,,,,,,,,,,,,,,,,,,,,,,
"Izbekov, P., Sisson, T., Wooden, J., Bacon, C., 2009. 2008 Kasatochi Eruption: SHRIMP constraints on concentration of volatiles in melt inclusions. AGU Fall Meeting Abstracts. vol. 1. pp. 1775. http://adsabs.harvard.edu/abs/2009AGUFM.V51E1775I.",,,,,,,,,,,,,,,,,,,,,,,
"Jude-Eton, T., Thordarson, T., Gudmundsson, M., Oddsson, B., 2012. Dynamics, stratigraphy and proximal dispersal of supraglacial tephra during the ice-confined 2004 eruption at Grímsvötn volcano, Iceland. Bull. Volcanol. 74 (5), 1057–1082. http://dx.doi.org/10.1007/s00445-012-0583-3.",,,,,,,,,,,,,,,,,,,,,,,
"Kilgour, G., Blundy, J., Cashman, K., Mader, H., 2013. Small volume andesite magmas and melt-mush interactions at Ruapehu, New Zealand: evidence from melt inclusions. Contrib. Mineral. Petrol. 166 (2), 371–392. http://dx.doi.org/10.1007/s00410-013-0880-7.",,,,,,,,,,,,,,,,,,,,,,,
"Koyaguchi, T., Ohno, M., 2001. Reconstruction of eruption column dynamics on the basis of grain size of tephra fall deposits: 2. Application to the Pinatubo 1991 eruption. J. Geophys. Res. Solid Earth 106 (B4), 6513–6533. http://dx.doi.org/10.1029/2000JB900427.",,,,,,,,,,,,,,,,,,,,,,,
"Kozono, T., Ueda, H., Ozawa, T., Koyaguchi, T., Fujita, E., Tomiya, A., Suzuki, Y., 2013. Magma discharge variations during the 2011 eruptions of Shinmoe-dake volcano, Japan, revealed by geodetic and satellite observations. Bull. Volcanol. 75 (3), 695. http://dx.doi.org/10.1007/s00445-013-0695-4.",,,,,,,,,,,,,,,,,,,,,,,
"Kratzmann, D.J., Carey, S., Scasso, R., Naranjo, J.-A., 2009. Compositional variations and magma mixing in the 1991 eruptions of Hudson volcano, Chile. Bull. Volcanol. 71 (4), 419. http://dx.doi.org/10.1007/s00445-008-0234-x.",,,,,,,,,,,,,,,,,,,,,,,
"Kratzmann, D.J., Carey, S.N., Fero, J., Scasso, R.A., Naranjo, J.-A., 2010. Simulations of tephra dispersal from the 1991 explosive eruptions of Hudson volcano, Chile. J. Volcanol. Geotherm. Res. 190 (3), 337–352. http://dx.doi.org/10.1016/j.jvolgeores.2009.11.021.",,,,,,,,,,,,,,,,,,,,,,,
"Kristiansen, N.I., Prata, A.J., Stohl, A., Carn, S.A., 2015. Stratospheric volcanic ash emissions from the 13 February 2014 Kelut eruption. Geophys. Res. Lett. 42 (2), 588–596. http://dx.doi.org/10.1002/2014GL062307.",,,,,,,,,,,,,,,,,,,,,,,
"Krotkov, N., Torres, O., Seftor, C., Krueger, A., Kostinski, A., Rose, W., Bluth, G., Schneider, D., Schaefer, S., 1999. Comparison of TOMS and AVHRR volcanic ash retrievals from the August 1992 eruption of Mt. Spurr. Geophys. Res. Lett. 26 (4), 455–458. http://dx.doi.org/10.1029/1998GL900278.",,,,,,,,,,,,,,,,,,,,,,,
"Krueger, A., Krotkov, N., Carn, S., 2008. El Chichon: the genesis of volcanic sulfur dioxide",,,,,,,,,,,,,,,,,,,,,,,
"monitoring from space. J. Volcanol. Geotherm. Res. 175 (4), 408–414. http://dx.doi.org/10.1016/j.jvolgeores.2008.02.026.",,,,,,,,,,,,,,,,,,,,,,,
"Krueger, A.,Walter, L., Schnetzler, C., Doiron, S., 1990. TOMSmeasurement of the sulfur dioxide emitted during the 1985 Nevado del Ruiz eruptions. J. Volcanol. Geotherm. Res. 41 (1–4), 7–15. http://dx.doi.org/10.1016/0377-0273(90)90081-P.",,,,,,,,,,,,,,,,,,,,,,,
"Kylling, A., 2016. Ash and ice clouds during the Mt Kelud February 2014 eruption as interpreted from IASI and AVHRR/3 observations. Atmos. Meas. Tech. 9 (5), 2103–2117. http://dx.doi.org/10.5194/amt-9-2103-2016.",,,,,,,,,,,,,,,,,,,,,,,
"Lara, L.E., 2010. The 2008 eruption of the chaitén volcano, Chile: a preliminary report. Andean Geol. 36 (1), 125–130. http://dx.doi.org/10.5027/andgeoV36n1-a09.",,,,,,,,,,,,,,,,,,,,,,,
"Larsen, J., Neal, C., Webley, P., Freymueller, J., Haney, M., McNutt, S., Schneider, D., et al. 2009. Eruption of Alaska volcano breaks historic pattern. Eos. Trans. AGU 90",,,,,,,,,,,,,,,,,,,,,,,
"(20), 173–174.",,,,,,,,,,,,,,,,,,,,,,,
"Larsen, J., Schaefer, J., Neal, C., Kaufman, A., Lu, Z., 2015. The 2008 phreatomagmatic eruption of Okmok Volcano, Aleutian Islands, Alaska: chronology, deposits, and landform changes. Technical Report. Alaska Division of Geological and Geophysical Surveys.",,,,,,,,,,,,,,,,,,,,,,,
"Larsen, J., S´ liwin´ ski, M., Nye, C., Cameron, C., Schaefer, J., 2013. The 2008 eruption of Okmok Volcano, Alaska: petrological and geochemical constraints on the subsurface magma plumbing system. J. Volcanol. Geotherm. Res. 264, 85–106. http://dx.doi.org/10.1016/j.jvolgeores.2013.07.003.",,,,,,,,,,,,,,,,,,,,,,,
"Le Pennec, J.-L., Mothes, P., Hall, M., Ramon, P., Ruiz, G., 2002. Maximum and minimum volume estimates of an ash fall layer from the August 2001 eruption of Mt Tungurahua (Ecuador). , pp. 371–374.",,,,,,,,,,,,,,,,,,,,,,,
"Le Pennec, J.-L., Ruiz, G., Ram/’on, P., Palacios, E., Mothes, P., Yepes, H., 2012. Impact of tephra falls on Andean communities: the influences of eruption size and weather conditions during the 1999–2001 activity of Tungurahua volcano, Ecuador. J. Volcanol. Geotherm. Res. 217, 91–103. http://dx.doi.org/10.1016/j.jvolgeores.2011.06.011.",,,,,,,,,,,,,,,,,,,,,,,
"Lucic, G., Berg, A.-S., Stix, J., 2016. Water-rich and volatile-undersaturated magmas at Hekla volcano, Iceland. Geochem. Geophys. Geosyst. 17 (8), 3111–3130. http://dx.doi.org/10.1002/2016GC006336.",,,,,,,,,,,,,,,,,,,,,,,
"Luhr, J.F., Carmichael, I.S., Varekamp, J.C., 1984. The 1982 eruptions of El Chichón volcano, Chiapas, Mexico: mineralogy and petrology of the anhydritebearing pumices. J. Volcanol. Geotherm. Res. 23 (1–2), 69–108. http://dx.doi.org/10.1016/0377-0273(84)90057-X.",,,,,,,,,,,,,,,,,,,,,,,
"Maeno, F., Nagai, M., Nakada, S., Burden, R., Engwell, S., Suzuki, Y., Kaneko, T., 2014. Constraining tephra dispersion and deposition from three subplinian explosions in 2011 at Shinmoedake volcano, Kyushu, Japan. Bull. Volcanol. 76 (6), 823. http://dx.doi.org/10.1007/s00445-014-0823-9.",,,,,,,,,,,,,,,,,,,,,,,
"Major, J.J., Lara, L.E., 2013. Overview of Chaitén volcano, Chile, and its 2008–2009 eruption. Andean Geol. 40 (2), 196–215. http://dx.doi.org/10.5027/andgeoV40n2-a01.",,,,,,,,,,,,,,,,,,,,,,,
"Malik, N., 2011. The December 24, 2006 eruption of Bezymyannyi volcano, Kamchatka. J. Volcanol. Seismol. 5 (4), 268. http://dx.doi.org/10.1134/S0742046311040051.",,,,,,,,,,,,,,,,,,,,,,,
"Mankowski, L., Riley, C., Rose, W., McGimsey, R., Ernst, G., 2001. Mapping ash grainsize distribution from the August 18, 1992 eruption of Mt. Spurr. AGU Fall Meeting Abstracts.",,,,,,,,,,,,,,,,,,,,,,,
"Marchese, F., Falconieri, A., Pergola, N., Tramutoli, V., 2014. A retrospective analysis of the Shinmoedake (Japan) eruption of 26–27 January 2011 by means of Japanese geostationary satellite data. J. Volcanol. Geotherm. Res. 269, 1–13. http://dx.doi.org/10.1016/j.jvolgeores.2013.10.011.",,,,,,,,,,,,,,,,,,,,,,,
"Martin-Del Pozzo, A., González-Morán, T., Espinasa-Pere na, R., Butron, M., Reyes, M., 2008. Characterization of the recent ash emissions at Popocatepetl Volcano, Mexico. J. Volcanol. Geotherm. Res. 170 (1), 61–75. http://dx.doi.org/10.1016/j.jvolgeores.2007.09.004.",,,,,,,,,,,,,,,,,,,,,,,
"Marzano, F.S., Lamantea, M., Montopoli, M., Herzog, M., Graf, H., Cimini, D., 2013. Microwave remote sensing of the 2011 plinian eruption of the Grímsvötn Icelandic volcano. Remote Sens. Environ. 129, 168–184. http://dx.doi.org/10.1016/j.rse.2012.11.005.",,,,,,,,,,,,,,,,,,,,,,,
"Mastin, L.G., 2007. A user-friendly one-dimensional model for wet volcanic plumes. Geochem. Geophys. Geosyst. 8 (3). http://dx.doi.org/10.1029/2006GC001455.",,,,,,,,,,,,,,,,,,,,,,,
"Mastin, L.G., Schwaiger, H., Schneider, D.J., Wallace, K.L., Schaefer, J., Denlinger, R.P., 2013. Injection, transport, and deposition of tephra during event 5 at Redoubt Volcano, 23March, 2009. J. Volcanol. Geotherm. Res. 259, 201–213. http://dx.doi.org/10.1016/j.jvolgeores.2012.04.025.",,,,,,,,,,,,,,,,,,,,,,,
"Matoza, R.S., Hedlin, M.A., Garcés, M.A., 2007. An infrasound array study of Mount St. Helens. J. Volcanol. Geotherm. Res. 160 (3), 249–262. http://dx.doi.org/10.1016/j.jvolgeores.2006.10.006.",,,,,,,,,,,,,,,,,,,,,,,
"Matson, M., 1984. The 1982 El Chichon volcano eruptions-a satellite perspective. J. Volcanol. Geotherm. Res. 23 (1–2), 1–10. http://dx.doi.org/10.1016/0377-0273(84)90054-4.",,,,,,,,,,,,,,,,,,,,,,,
"Meinel, M.P., Meinel, A.B., 1963. Late twilight glow of the ash stratum from the eruption of Agung volcano. Science 142 (3592), 582–583. http://dx.doi.org/10.1126/science.142.3592.582.",,,,,,,,,,,,,,,,,,,,,,,
"Melson, W., Allan, J., Jerez, D., Nelen, J., Calvache, M., Williams, S., Fournelle, J., Perfit, M., 1990. Water contents, temperatures and diversity of the magmas of the catastrophic eruption of Nevado del Ruiz, Colombia, November 13, 1985. J. Volcanol. Geotherm. Res. 41 (1–4), 97–126. http://dx.doi.org/10.1016/0377-0273(90)90085-T.",,,,,,,,,,,,,,,,,,,,,,,
"Métrich, N., Allard, P., Spilliaert, N., Andronico, D., Burton, M., 2004. 2001 flank eruption of the alkali-and volatile-rich primitive basalt responsible for Mount Etna’s evolution in the last three decades. Earth Planet. Sci. Lett. 228 (1), 1–17. http://dx.doi.org/10.1016/j.epsl.2004.09.036.",,,,,,,,,,,,,,,,,,,,,,,
"Miller, T., Chouet, B., 1994. The 1989–1990 eruptions of Redoubt Volcano: an introduction. J. Volcanol. Geotherm. Res. 62 (1–4), 1–10. http://dx.doi.org/10.1016/0377-0273(94)90025-6.",,,,,,,,,,,,,,,,,,,,,,,
"Moiseenko, K., Malik, N., 2014. Estimates of total ash content from 2006 and 2009 explosion events at Bezymianny volcano with use of a regional atmospheric modeling system. J. Volcanol. Geotherm. Res. 270, 53–75. http://dx.doi.org/10.1016/j.jvolgeores.2013.11.016.",,,,,,,,,,,,,,,,,,,,,,,
"Moiseenko, K., Malik, N., 2015. Reconstruction of the ashfall at Bezymyanny volcano during the eruption of December 24, 2006 by using a mesoscale model of the atmospheric transport of ash particles. Izv. Atmos. Oceanic Phys. 51 (6), 585–598. http://dx.doi.org/10.1134/S0001433815050072.",,,,,,,,,,,,,,,,,,,,,,,
"Mossop, S., 1964. Volcanic dust collected at an altitude of 20 km. Nature 203 (4947), 824–827. http://dx.doi.org/10.1038/203824a0.",,,,,,,,,,,,,,,,,,,,,,,
"Moune, S., Sigmarsson, O., Thordarson, T., Gauthier, P.-J., 2007. Recent volatile evolution in the magmatic system of Hekla volcano, Iceland. Earth Planet. Sci. Lett. 255 (3), 373–389. http://dx.doi.org/10.1016/j.epsl.2006.12.024.",,,,,,,,,,,,,,,,,,,,,,,
"Moxey, L., 2005. A Complete Space-Based Synopsis of Eruption Dynamics: The 2002 Eruption of Reventador Volcano, Ecuador. Master’s thesis.",,,,,,,,,,,,,,,,,,,,,,,
"Murrow, P., Rose, W., Self, S., 1980. Determination of the total grain size distribution in a vulcanian eruption column, and its implications to stratospheric aerosol perturbation. Geophys. Res. Lett. 7 (11), 893–896. http://dx.doi.org/10.1029/GL007i011p00893.",,,,,,,,,,,,,,,,,,,,,,,
"Myers, M., Geist, D., Rowe, M., Harpp, K.,Wallace, P., Dufek, J., 2014. Replenishment of volatile-rich mafic magma into a degassed chamber drives mixing and eruption of Tungurahua volcano. Bull. Volcanol. 76 (11), 872. http://dx.doi.org/10.1007/s00445-014-0872-0.",,,,,,,,,,,,,,,,,,,,,,,
"Nakada, S., Matsushima, T., Yoshimoto, M., Sugimoto, T., Kato, T., Watanabe, T., Chong, R., Camacho, J.T., 2005a. Geological aspects of the 2003–2004 eruption of Anatahan volcano, Northern Mariana Islands. J. Volcanol. Geotherm. Res. 146 (1), 226–240. http://dx.doi.org/10.1016/j.jvolgeores.2004.10.023.",,,,,,,,,,,,,,,,,,,,,,,
"Nakada, S., Nagai, M., Kaneko, T., Nozawa, A., Suzuki-Kamata, K., 2005b. Chronology and products of the 2000 eruption of Miyakejima volcano, Japan. Bull. Volcanol. 67 (3), 205–218. http://dx.doi.org/10.1007/s00445-004-0404-4.",,,,,,,,,,,,,,,,,,,,,,,
"Nakada, S., Nagai, M., Kaneko, T., Suzuki, Y., Maeno, F., 2013. The outline of the 2011 eruption at Shinmoe-dake (Kirishima), Japan. Earth Planets Space 65 (6), 475–488. http://dx.doi.org/10.5047/eps.2013.03.016.",,,,,,,,,,,,,,,,,,,,,,,
"Naranjo, J., Sigurdsson, H., Carey, S., Fritz, W., 1986. Eruption of the Nevada del Ruiz volcano, Colombia, on 13 November 1985: tephra fall and lahars. Science 233, 961–964. http://dx.doi.org/10.1126/science.233.4767.961.",,,,,,,,,,,,,,,,,,,,,,,
"Neal, C., McGimsey, R., Gardner, C., Harbin, M., Nye, C., Keith, T., 1995. Tephra-fall deposits from the 1992 eruptions of Crater Peak, Mount Spurr Volcano, Alaska; a preliminary report on distribution, stratigraphy, and composition. US Geol. Surv. Bull 2139, 65–79.",,,,,,,,,,,,,,,,,,,,,,,
"Newhall, C.G., Daag, A.S., Delfin, F., Hoblitt, R.P., McGeehin, J., Pallister, J.S., Regalado, M., Rubin, M., Tubianosa, B.S., Tamayo, R., et al. 1996. Eruptive history of Mount Pinatubo. Fire and Mud: Eruptions and Lahars of Mount Pinatubo, Philippines: Philippine Institute of Volcanology and Seismology and University of Washington, pp. 165–195.",,,,,,,,,,,,,,,,,,,,,,,
"Nye, C., Keith, T., Eichelberger, J., Miller, T., McNutt, S., Moran, S., Schneider, D., Dehn, J., Schaefer, J., 2002. The 1999 eruption of Shishaldin Volcano, Alaska: monitoring a distant eruption. Bull. Volcanol. 64 (8), 507–519. http://dx.doi.org/10.1007/s00445-002-0225-2.",,,,,,,,,,,,,,,,,,,,,,,
